SEC Region,Organization CRD#,Additional CRD Number,Total number of additional CRD numbers,SEC#,Firm Type,CIK#,Total number of CIK numbers,Primary Business Name,Legal Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Country,Main Office Postal Code,Main Office Private Residence Flag,Main Office Telephone Number,Main Office Facsimile Number,"Total number of offices, other than your Principal Office and place of business",Mail Office Street Address 1,Mail Office Street Address 2,Mail Office City,Mail Office State,Mail Office Country,Mail Office Postal Code,Mail Office Private Residence Flag,Chief Compliance Officer Name,Chief Compliance Officer Other Titles,Chief Compliance Officer Telephone,Chief Compliance Officer Facsimile,Chief Compliance Officer Street Address 1,Chief Compliance Officer Street Address 2,Chief Compliance Officer City,Chief Compliance Officer State,Chief Compliance Officer Country,Chief Compliance Officer Postal Code,Chief Compliance Officer E-mail,Name of the other person compensating CCO,EIN of the Other person compensating CCO,SEC Current Status,SEC Status Effective Date,Jurisdiction Notice Filed-Effective Date,Latest ADV Filing Date,Form Version,1I,Website Address,Total Number of Website Addresses,Location of Books and Records Street Address 1,Location of Books and Records Street Address 2,Location of Books and Records City,Location of Books and Records State,Location of Books and Records Country,Location of Books and Records Postal Code,Total Number of Books and Records Locations,1M,1N,1O,"1O - If yes, approx. amount of assets",1P,2B(1),2B(2),2B(3),3A,3A-Other,3B,3C-State,3C-Country,6A(1),6A(2),6A(3),6A(4),6A(5),6A(6),6A(7),6A(8),6A(9),6A(10),6A(11),6A(12),6A(13),6A(14),6A(14)-Other,6B(1),6B(2),6B(3),7A(1),7A(2),7A(3),7A(4),7A(5),7A(6),7A(7),7A(8),7A(9),7A(10),7A(11),7A(12),7A(13),7A(14),7A(15),7A(16),Count of IA Affiliates,Count of IA/BD Affiliates,Count of BD Affiliates,Control/Controlled by Related Person,Under Common Control,Share Supervised Persons,Share Location,7B,Count of Private Funds - 7B(1),Any PFs a Master,Any Hedge Funds,Total number of Hedge funds,Any Liquidity Funds,Total number of Liquidity funds,Any PE Funds,Total number of PE funds,Any Real Estate Funds,Total number of Real Estate funds,Any Securitized Funds,Total number of Securitized funds,Any VC Funds,Total number of VC funds,Any Other Funds,Total number of Other funds,Total Gross Assets of Private Funds,Count of Private Funds - 7B(2),10A,Count of Control person Public Reporting Company,11,11A(1),Count of 11A(1) disclosures,11A(2),Count of 11A(2) disclosures,11B(1),Count of 11B(1) disclosures,11B(2),Count of 11B(2) disclosures,11C(1),Count of 11C(1) disclosures,11C(2),Count of 11C(2) disclosures,11C(3),Count of 11C(3) disclosures,11C(4),Count of 11C(4) disclosures,11C(5),Count of 11C(5) disclosures,11D(1),Count of 11D(1) disclosures,11D(2),Count of 11D(2) disclosures,11D(3),Count of 11D(3) disclosures,11D(4),Count of 11D(4) disclosures,11D(5),Count of 11D(5) disclosures,11E(1),Count of 11E(1) disclosures,11E(2),Count of 11E(2) disclosures,11E(3),Count of 11E(3) disclosures,11E(4),Count of 11E(4) disclosures,11F,Count of 11F disclosures,11G,Count of 11G disclosures,11H(1)(a),Count of 11H(1)(a) disclosures,11H(1)(b),Count of 11H(1)(b) disclosures,11H(1)(c),Count of 11H(1)(c) disclosures,11H(2),Count of 11H(2) disclosures,12A,12B(1),12B(2),12C(1),12C(2)
SFRO,322767,,,802-126594,ERA,,,OLIVE CAPITAL,"OLIVE CAPITAL MANAGEMENT COMPANY, LLC",,,,,,,Y,(978) 760-9568,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,8/19/2022,,3/31/2025,21-Oct,Y,https://twitter.com/capital_olive,3,,,,,,,0,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,3,N,N,,N,,N,,N,,N,,Y,3,N,,"30,573,480.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,160741,,,802-75045,ERA,,,BOWMARK CAPITAL LLP,BOWMARK CAPITAL LLP,ONE EAGLE PLACE,,LONDON,,United Kingdom,SW1Y 6AF,N,+44 20 7189 9000,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/28/2012,,6/26/2025,21-Oct,Y,HTTP://WWW.BOWMARK.COM/,2,"4TH FLOOR, 3 MORE LONDON RIVERSIDE",,LONDON,,United Kingdom,SE1 2AQ,1,Y,N,N,,,N,Y,N,Limited Liability Partnership,,MARCH,,United Kingdom,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,Y,Y,Y,Y,14,Y,N,,N,,Y,14,N,,N,,N,,N,,"3,288,192,663.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,307087,,,802-118128,ERA,,,CHART NATIONAL INVESTMENT MANAGEMENT LLC,CHART NATIONAL INVESTMENT MANAGEMENT LLC,"45 ROCKEFELLER PLAZA, 20TH FLOOR",,NEW YORK,NY,United States,10111,N,212-350-8200,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,1/28/2020,,5/8/2025,21-Oct,Y,https://chartnational.com/,2,22 WEST 38 STREET,FLOOR 7,NEW YORK,NY,United States,10018,1,Y,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2,0,0,Y,N,Y,Y,Y,2,N,N,,N,,Y,2,N,,N,,N,,N,,"98,112,577.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,329920,,,802-130292,ERA,,,"CPH ADVISORS, L.P.","CPH ADVISORS, L.P.",1178 BROADWAY,3RD FLOOR #1014,NEW YORK,NY,United States,10001,N,646-852-8179,,0,,,,,,,,NICHOLAS LEWIN,,646-852-8179,,1178 BROADWAY,3RD FLOOR #1014,NEW YORK,NY,United States,10001,NICK@CROWNPREDATOR.COM,,,ERA - Active,4/16/2024,,6/19/2025,21-Oct,Y,https://www.linkedin.com/company/crown-predator-holdings/,2,,,,,,,0,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,Y,Y,Y,Y,1,N,N,,N,,N,,N,,N,,Y,1,N,,"97,333,333.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
DRO,316395,,,802-122666,ERA,,,"PAVAKI CAPITAL MANAGEMENT, LLC","PAVAKI CAPITAL MANAGEMENT, LLC",,,,,,,Y,719-542-7223,,0,,,,,,,,NITU DHANDA,,719-542-7223,,4104 MUIRFIELD CT,,PUEBLO,CO,United States,81001,NITU@PAVAKICAPITAL.COM,,,ERA - Active,10/8/2021,,2/27/2025,21-Oct,Y,https://www.linkedin.com/company/pavaki-capital/,13,,,,,,,0,N,N,N,,549300BC0MLAWHKXZJ51,N,Y,N,Limited Liability Company,,DECEMBER,CO,United States,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,1,N,Y,1,N,,N,,N,,N,,N,,N,,"34,947,707.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
BRO,289766,,,802-112069,ERA,,,TEAMWORTHY GROUP LLC,TEAMWORTHY GROUP LLC,60 ARCH STREET,,GREENWICH,CT,United States,06830,N,646-883-4777,,2,,,,,,,,,,,,,,,,,,,,,ERA - Active,10/25/2017,,3/7/2025,21-Oct,Y,HTTP://TEAMWORTHY.COM,3,,,,,,,0,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,5,N,N,,N,,N,,N,,N,,Y,5,N,,"290,508,185.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
SFRO,336685,,,802-133859,ERA,,,"SEVEN STARS VENTURES MANAGEMENT, LLC","SEVEN STARS VENTURES MANAGEMENT, LLC",1225 4TH STREET #607,,SAN FRANCISCO,CA,United States,94158,N,(415) 340-0373,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,6/11/2025,,6/11/2025,21-Oct,Y,https://www.sevenstars.vc/,5,,,,,,,0,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,1,N,N,,N,,N,,N,,N,,Y,1,N,,"37,044,040.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,323661,,,802-126852,ERA,,,BROAD REACH INVESTMENT MANAGEMENT (US) LLC,BROAD REACH INVESTMENT MANAGEMENT (US) LLC,1185 AVENUE OF THE AMERICAS,,NEW YORK,NY,United States,10036,N,+1 646 222 9550,,0,,,,,,,,STUART RAMSAY MCKAY,CHIEF FINANCIAL OFFICER,0044 20 7531 247,,50 GREAT MARLBOROUGH STREET,,LONDON,,United Kingdom,W1F7JS,SM@BROADREACHLLP.COM,,,ERA - Active,10/10/2022,,3/11/2025,21-Oct,Y,https://www.broadreachllp.com/,1,50 GREAT MARLBOROUGH ST,,LONDON,,United Kingdom,W1F 7JS,1,N,N,N,,213800UPF19ALFB87T11,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,1,0,0,Y,Y,Y,N,Y,0,N,N,,N,,N,,N,,N,,N,,N,,0,2,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
PLRO,162955,,,802-75622,ERA,,,DEVON PARK MANAGEMENT,"DEVON PARK MANAGEMENT, LLC",435 DEVON PARK DRIVE,BUILDING 700,WAYNE,PA,United States,19087,N,6109777601,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/30/2012,,3/14/2025,21-Oct,N,,0,,,,,,,0,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,1,N,N,,N,,N,,N,,N,,Y,1,N,,"108,427,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,274029,,,802-112476,ERA,1650903,1,PAMPLONA PE INVESTMENTS MALTA LIMITED,PAMPLONA PE INVESTMENTS MALTA LIMITED,"5TH FLOOR, MARINA BUSINESS CENTRE",TRIQ L-ABATE RIGORD,TA'XBIEX,,Malta,XBX 1127,N,(356) 2090-9000,(356) 2090-9001,0,,,,,,,,CLAIRE CAMILLERI GAUCI,,(356) 2090-9000,(356) 2090-9001,"5TH FLOOR, MARINA BUSINESS CENTRE, ABATE RIGORD ST",,TA' XBIEX,,Malta,XBX 1127,CCAMILLERIGAUCI@PAMPLONAFUNDS.COM,,,ERA - Active,1/19/2018,,3/28/2025,21-Oct,Y,HTTP://WWW.PAMPLONAFUNDS.COM,1,THE BEE HOUSE,140 EASTERN AVENUE PARK DRIVE,OXFORD,,United Kingdom,OX14 4SB,1,Y,N,N,,213800OEX7X5TXPATR14,N,Y,N,Other (specify),LIMITED COMPANY,DECEMBER,,Malta,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3,0,0,Y,N,Y,N,Y,1,N,N,,N,,Y,1,N,,N,,N,,N,,"79,761,500.00",4,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,163582,,,802-80527,ERA,,,PATRIA VBI REAL ESTATE GESTAO DE CARTEIRAS S.A,PATRIA VBI REAL ESTATE GESTAO DE CARTEIRAS S.A,RUA FUNCHAL,418 - 27TH FLOOR,SAO PAULO,,Brazil,04551-060,N,5.51197E+12,5.51123E+11,1,,,,,,,,KENNETH ARON WAINER,MR.,5.51123E+11,5.51123E+11,RUA FUNCHAL,"418, 27TH FLOOR",SAO PAULO,,Brazil,04551-060,KWAINER@VBIREALESTATE.COM,,,ERA - Active,10/23/2014,,6/11/2025,21-Oct,Y,HTTPS://WWW.VBIREALESTATE.COM,1,"RUA DAS OLIMPIADAS, 205",4O FLOOR,SÃO PAULO,,Brazil,04550000,1,Y,N,N,,,Y,N,N,Partnership,,DECEMBER,,Brazil,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,N,N,N,Y,27,N,N,,N,,N,,N,,N,,Y,1,Y,26,"1,879,696,913.00",0,Y,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
SFRO,170229,,,802-132671,ERA,,,"FREEDOM FINANCIAL ASSET MANAGEMENT, LLC","FREEDOM FINANCIAL ASSET MANAGEMENT, LLC",1875 SOUTH GRANT STREET,SUITE 400,SAN MATEO,CA,United States,94402,N,650-954-2444,,1,,,,,,,,MATTHEW ERIC MASON,"VP, ENTERPRISE COMPLIANCE & RISK MANAGEMENT",704-749-4516,,1875 SOUTH GRANT STREET,SUITE 400,SAN MATEO,CA,United States,94402,MMASON@BILLS.COM,,,ERA - Active,3/31/2025,,3/31/2025,21-Oct,N,,0,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,United States,94043,3,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,ARRANGING AND SERVICING CONSUMER LOANS,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,1,N,Y,1,N,,N,,N,,N,,N,,N,,"115,957,018.00",0,N,0,Y,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,1,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
BRO,332485,,,802-131178,ERA,,,"BRENTON POINT CAPITAL PARTNERS, LLC","BRENTON POINT CAPITAL PARTNERS, LLC",,,,,,,Y,516-509-2088,,1,169 MADISON AVE,SUITE 1145,NEW YORK,NY,United States,10016,N,,,,,,,,,,,,,,ERA - Active,8/23/2024,,3/26/2025,21-Oct,Y,https://www.linkedin.com/company/brenton-point-capital-partners/,2,3300 N. ASHTON BLVD. SUITE 240,,LEHI,UT,United States,84043,1,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,N,Y,Y,Y,1,N,N,,N,,Y,1,N,,N,,N,,N,,"27,864,565.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,313893,,,802-120946,ERA,,,"DALGIN, BURAK","DALGIN, BURAK",ADNAN KAHVECI CAD TAHIR PASA EVLERI,NO 154/53 YENIKOY,ISTANBUL,,Turkey,34464,N,9.05336E+11,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/26/2021,,4/1/2025,21-Oct,Y,https://www.linkedin.com/in/burak-dalgin-046225/,1,,,,,,,0,N,N,N,,,Y,N,N,Sole Proprietorship,,DECEMBER,,Turkey,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,Y,N,N,Y,0,N,N,,N,,N,,N,,N,,N,,N,,0,2,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,139762,,,802-121508,ERA,,,"EXPLORADOR CAPITAL MANAGEMENT, LLC","EXPLORADOR CAPITAL MANAGEMENT, LLC",,,,,,,Y,+54 11-6567-3434,,0,,,,,,,,LUCIANO ALEXIS LOPRETE,CHIEF COMPLIANCE OFFICER,+54 9 11 6567-3434,,MANSILLA 4075,,BUENOS AIRES,,Argentina,1425,COMPLIANCE@EXPLORADOR.NET,,,ERA - Active,5/14/2021,,3/26/2025,21-Oct,Y,HTTP://WWW.EXPLORADOR.NET,1,"12 CHURCH STREET, 4TH FLOOR",,HAMILTON,,Bermuda,HM11,2,N,N,N,,549300SJ6CHVK3XWP624,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,7,N,Y,5,N,,Y,2,N,,N,,N,,N,,"63,281,803.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,Y,1,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,310312,,,802-119373,ERA,,,"RS FUND MANAGER, LP","RS FUND MANAGER, LP",7 ESPLANADE,,ST. HELIER,,Jersey,JE2 3QA,N,+44 1534 833000,+44 1534 833033,0,,,,,,,,TOM WELLESLEY,,+44 1543 833000,+44 1534 833033,"AZTEC GROUP HOUSE, IFC6",,ST HELIER,,Jersey,JE4 0QH,TOM.WELLESLEY@AZTECGROUP.CO.UK,,,ERA - Active,7/31/2020,,4/2/2025,21-Oct,Y,http://www.roundshieldllp.com,1,,,,,,,0,Y,N,N,,,Y,N,N,Limited Partnership,,DECEMBER,,Jersey,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,9,0,0,Y,N,Y,N,Y,0,N,N,,N,,N,,N,,N,,N,,N,,0,5,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,159108,,,802-73118,ERA,,,AZINI CAPITAL,AZINI CAPITAL PARTNERS LLP,,,,,,,Y,44 7790 774461,,0,,,,,,,,KEITH HOAD,PARTNER,44 7708 496976,,32 MAPLE STREET,,LONDON,,United Kingdom,W1T 6HB,KEITH.HOAD@AZINI.COM,,,ERA - Active,1/31/2012,,9/19/2024,21-Oct,Y,HTTP://WWW.AZINI.COM,1,"UNIT 5, 35 WHITEHART AVENUE",,LONDON,,United Kingdom,SE28 0GU,1,Y,N,N,,549300HB5PHNVN8Q1J82,N,Y,N,Limited Liability Partnership,,JULY,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,N,Y,N,Y,Y,1,N,N,,N,,Y,1,N,,N,,N,,N,,"12,000,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,308347,,,802-118669,ERA,,,VERDANE FUND MANAGER AB,VERDANE FUND MANAGER AB,BIRGER JARLSGATAN 41A,,STOCKHOLM,,Sweden,111 45,N,+46 8 446 828 40,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,4/6/2020,,6/11/2025,21-Oct,Y,HTTPS://WWW.LINKEDIN.COM/COMPANY/VERDANE,2,,,,,,,0,Y,N,N,,549300DMFPOTMYGK1551,N,Y,N,Other (specify),SWEDISH COMPANY LIMITED BY SHARES,DECEMBER,,Sweden,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,0,0,Y,N,Y,N,Y,22,N,N,,N,,Y,22,N,,N,,N,,N,,"3,378,933,340.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,162551,,,802-75023,ERA,,,"BACCHUS CAPITAL MANAGEMENT, LLC","BACCHUS CAPITAL MANAGEMENT, LLC",950 THIRD AVENUE,17TH FLOOR,NY,NY,United States,10022,N,212-486-3600,212-486-3616,0,,,,,,,,ROBERT A. RUPE,PARTNER,212-486-3600,212-486-3616,950 THIRD AVENUE,17TH FLOOR,NEW YORK,NY,United States,10022,RRUPE@BACCHUSWINEFUND.COM,,,ERA - Active,3/27/2012,,3/4/2025,21-Oct,Y,HTTP://WWW.BACCHUSWINEFUND.COM,1,,,,,,,0,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,Y,Y,Y,Y,Y,1,N,N,,N,,Y,1,N,,N,,N,,N,,"36,000,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,325842,,,802-127991,ERA,,,APH III GP LP,APH III GP LP,79 WELLINGTON ST WEST,SUITE 3500,"TORONTO, ON",,Canada,M5K 1K7,N,416-306-9800,416-775-8257,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,4/17/2023,,3/28/2025,21-Oct,Y,https://www.altas.com/,2,,,,,,,0,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,,Canada,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,4,0,0,Y,Y,Y,Y,Y,5,N,N,,N,,Y,5,N,,N,,N,,N,,"4,938,857,241.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
LARO,317961,,,802-130047,ERA,,,NEWCOAST GROUP MANAGEMENT LLC,NEWCOAST GROUP MANAGEMENT LLC,18575 JAMBOREE ROAD,SUITE 330,IRVINE,CA,United States,92612,N,(949) 4267559,,0,,,,,,,,SIMON ZHANG,MANAGER,(949) 426-7559,,18575 JAMBOREE ROAD,SUITE 330,IRVINE,CA,United States,92612,SZHANG@EXCELLENT-CAPITAL.COM,,,ERA - Active,3/27/2024,,3/31/2025,21-Oct,N,,0,2121 NORTH CALIFORNIA BLVD.,SUITE 290,WALNUT CREEK,CA,United States,94596,1,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,1,0,0,Y,Y,Y,Y,Y,1,N,Y,1,N,,N,,N,,N,,N,,N,,"71,191,379.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
SFRO,309611,,,802-131693,ERA,,,HONEYSTONE VENTURES LLC,HONEYSTONE VENTURES LLC,,,,,,,Y,650-283-5732,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,11/22/2024,,3/20/2025,21-Oct,Y,https://www.honeystonevc.com/,2,2420 17TH ST,STE 240,DENVER,CO,United States,80202,1,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,2,N,N,,N,,N,,N,,N,,Y,2,N,,"33,807,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,308034,,,802-118650,ERA,1786620,1,"LOWKEY SERVICES COMPANY, LTD.","LOWKEY SERVICES COMPANY, LTD.","ROOM 3551, 35/F, TWO PACIFIC PLACE,","88 QUEENSWAY, ADMIRALTY","HONG KONG, HONG KONG",,China,00000,N,85296644961,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,4/1/2020,,3/18/2025,21-Oct,Y,http://www.atypical.ventures/,1,,,,,,,0,N,N,N,,,Y,Y,N,Other (specify),EXEMPTED COMPANY WITH LIMITED LIABILITY,DECEMBER,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,1,0,0,Y,Y,Y,Y,Y,2,N,N,,N,,N,,N,,N,,Y,2,N,,"218,276,794.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
